sample	weighted_NSTI
13414.81.hg.R1.fastq.gz	0.17544968124770388
13414.81.midgut.R1.fastq.gz	0.32069047512627813
13414.81.skin.R1.fastq.gz	0.014836338757608673
13414.82.gill.R1.fastq.gz	0.2608522265872561
13414.82.hg.R1.fastq.gz	0.1306163228032672
13414.82.midgut.R1.fastq.gz	0.14790647230014026
13414.82.skin.R1.fastq.gz	0.14208481302795622
13414.83.gill.R1.fastq.gz	0.0392619687869628
13414.83.hg.R1.fastq.gz	0.04964415886175219
13414.83.midgut.R1.fastq.gz	0.07157061084511368
13414.83.skin.R1.fastq.gz	0.021558768170805574
13414.84.gill.R1.fastq.gz	0.25569833146518806
13414.84.hg.R1.fastq.gz	0.35202478591868364
13414.84.midgut.R1.fastq.gz	0.11978088556308815
13414.84.skin.R1.fastq.gz	0.2589926197909223
13414.85.gill.R1.fastq.gz	0.1460562209145931
13414.85.hg.R1.fastq.gz	0.1443284811490126
13414.85.midgut.R1.fastq.gz	0.12908969884378907
13414.85.skin.R1.fastq.gz	0.12893663716350962
13414.86.gill.R1.fastq.gz	0.7084398322276496
13414.86.hg.R1.fastq.gz	0.16776464821227097
13414.86.midgut.R1.fastq.gz	0.26667247036534203
13414.86.skin.R1.fastq.gz	0.07077917188908928
13414.87.gill.R1.fastq.gz	0.007159701276783091
13414.87.midgut.R1.fastq.gz	0.05106568252268734
13414.87.skin.R1.fastq.gz	0.053555651904312884
13414.88.gill.R1.fastq.gz	0.05921479438992583
13414.88.hg.R1.fastq.gz	0.05244083528131958
13414.88.midgut.R1.fastq.gz	0.039015724269239146
13414.88.skin.R1.fastq.gz	0.03422816988119996
13414.89.g.R1.fastq.gz	0.07484278109415142
13414.89.midg.R1.fastq.gz	0.019535953386942893
13414.89.s.R1.fastq.gz	0.046343700937542455
13414.9.gill.R1.fastq.gz	0.2877067227618527
13414.9.hg.R1.fastq.gz	0.4223895950358597
13414.9.midgut.R1.fastq.gz	0.1007910001941823
13414.9.skin.R1.fastq.gz	0.018374295532646048
13414.90.g.R1.fastq.gz	0.11308439687970438
13414.90.hg.R1.fastq.gz	0.08962207711933053
13414.90.midg.R1.fastq.gz	0.20324199659786232
13414.90.s.R1.fastq.gz	0.11438288521793082
13414.91.g.R1.fastq.gz	0.07373815142464525
13414.91.hg.R1.fastq.gz	0.10940353324681745
13414.91.midg.R1.fastq.gz	0.030708090819445817
13414.91.s.R1.fastq.gz	0.050732851031625906
13414.92.g.R1.fastq.gz	0.10020727445531272
13414.92.hg.R1.fastq.gz	0.015210520461095101
13414.92.s.R1.fastq.gz	0.038790916556280426
