"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"shortfin corvina","gill",Pacific chub mackerel,"DD","20","0","3","small fish","10.1","1069","3.028977705","116","Cynoscion arenarius","HSW gillnet survey","34.4","4.3","26.3","not applicable","neritic","0.915652235","shortfin corvina","34.5","50","Cynoscion parvipinnis","FMP_49","320393","376","376","not applicable","3.2","60","69","gillnet","6","352","Sciaenidae","Cynoscion","Cynoscion parvipinnis","Perciformes","0.292753623","0.124637681","0.762318841","gill tissue","fish gill","kelp forrest","Subcarangiform","generalist","34.5","3","Cynoscion parvipinnis"
"gopher rockfish","gill",vermilion rockfish,"NE","55","0","30","fish_ benthic crustaceans_ cephalopods","7","2486","3.395501124","116","Sebastes carnatus","hook and line survey","25.5","4.5","34.5","not applicable","neritic","1.905752689","gopher rockfish","25.5","65","Sebastes carnatus","FMP_5","72062","316","316","30","not applicable","43","39","rod and reel","8","257","Sebastidae","Sebastes","Sebastes carnatus","Perciformes","0.274509804","0.176470588","1.352941176","gill tissue","fish gill","rocky reef","Labriform","generalist","25.5","3","Sebastes carnatus"
"bonefish","gill",bigfin eelpout,"NT","84","0","3","worms_ crustaceans_ mollusks","15.8","1069","3.028977705","284","Albula vulpes","HSW gillnet survey","36","3","31","not applicable","neritic","0.845588118","bonefish","42.3","41","Albula gilberti","FMP_50","54909","640","640","not applicable","10","41.2","104","gillnet","6","378","Albulidae","Albula","Albula vulpes","Albuliformes","0.373522459","0.070921986","0.73286052","gill tissue","fish gill","kelp forrest","Subcarangiform","generalist","42.3","2","Albula vulpes"
"California lizardfish","gill",longjaw mudsucker,"LC","229","1","3","fish","11.4","78","1.892094603","154","Synodus foetens","hook and line","29.5","3.5","34.5","not applicable","neritic","0.540760471","California lizardfish","30.8","48","Synodus lucioceps","FMP_51","320415","158","158","not applicable","not applicable","63.9","64","rod and reel","5","233","Synodontidae","Synodus","Synodus lucioceps","Aulopiformes","0.37012987","0.113636364","1.12012987","gill tissue","fish gill","sandy mud bottom","Esociform","accelerator","30.8","4","Synodus lucioceps"
"rubberlip perch","gill",Pacific chub mackerel,"NE","50","1","6","crabs_ worms_ bivalves_ snails_ isopods_ brittle stars_ shrimp_ squid_ algae","7.5","1163","3.065579715","116","Rhacochilus vacca","HSW gillnet survey","23","2","22.5","rocky reef, kelp, shallow","neritic","1.269539053","rubberlip perch","24.5","52","Rhacochilus toxotes","FMP_52","100202","186.7","186.7","not applicable","not applicable","47","47","gillnet","6","260","Emiotocidae","Rhacochilus","Rhacochilus toxotes","Perciformes","0.306122449","0.081632653","0.918367347","gill tissue","fish gill","rocky reef","Embiotociform","manoeuvrer","24.5","2","Rhacochilus toxotes"
"kelp perch","gill",vermilion rockfish,"NE","30","0","6","crustaceans on kelp","5","1163","3.065579715","116","Embiotoca lateralis","HSW gillnet survey","14.2","1","16.5","not applicable","neritic","1.587056494","kelp perch","15.5","70","Brachyistius frenatus","FMP_53","100188","59.1","59.1","not applicable","not applicable","21.6","22","gillnet","6","250","Emiotocidae","Brachyistius","Brachyistius frenatus","Perciformes","0.322580645","0.064516129","1.064516129","gill tissue","fish gill","rocky reef","Embiotociform","manoeuvrer","15.5","2","Brachyistius frenatus"
"halfmoon","gill",bigfin eelpout,"LC","40","0","6","invertebrates_ seaweed","5.5","1163","3.065579715","116","Kyphosus elegans","HSW gillnet survey","22.5","1.8","34","not applicable","neritic","2.044839466","halfmoon","20.4","43","Medialuna californiensis","FMP_54","314243","173.6","173.6","8","not applicable","48.3","48","gillnet","6","329","Kyphosidae","Medialuna","Medialuna californiensis","Centrarchiformes","0.269607843","0.088235294","1.666666667","gill tissue","fish gill","rocky reef","Embiotociform","manoeuvrer","20.4","2","Medialuna californiensis"
"broadnose sevengill shark","gill",longjaw mudsucker,"DD","570","0","6","sharks_ rays_ fish_ marine mammal","not collected","1432","3.155943018","465","Hexanchus griseus","HSW gillnet survey","not collected","not collected","not collected","not applicable","neritic","#VALUE!","broadnose sevengill shark","not collected","not collected","Notorynchus cepedianus","FMP_55","7857","not collected","not collected","49","107","296","300","gillnet","6","293","Hexanchidae","Notorynchus","Notorynchus cepedianus","Hexanchiformes","not applicable","not applicable","not applicable","gill tissue","fish gill","kelp forrest","Carcharhiniform","crusier sprinter","not collected","5","Notorhynchus cepedianus"
"bonito","gill",Pacific chub mackerel,"LC","100","0","3","fish_ squids_ shrimp","9.5","245","2.389166084","52","Sarda chiliensis","hook and line","34.5","3.8","32","not applicable","neritic","1.112136488","bonito","36.5","36","Sarda chiliensis","FMP_58","8231","540.8","540.8","not applicable","11.3","122","102","rod and reel","9","492","Scombridae","Sarda","Sarda chiliensis","Scombriformes","0.260273973","0.104109589","0.876712329","gill tissue","fish gill","sandy bottom","Thunniform","crusier sprinter","36.5","3","Sarda chiliensis"
"Pacific bonito","gill",vermilion rockfish,"VU","550","0","3","forage fish","not collected","160","2.204119983","465","Carcharias taurus","HSW gillnet survey","not collected","not collected","not collected","not applicable","neritic","#VALUE!","Pacific bonito","not collected","not collected","Alopias vulpinus","FMP_59","7852","not collected","not collected","25","348","573","760","gillnet","6","249","Alopiidae","Alopias","Alopias vulpinus","Lamniformes","not applicable","not applicable","not applicable","gill tissue","fish gill","sandy mud bottom","Carcharhiniform","crusier sprinter","not collected","3","Alopias vulpinus"
